portfolio_code,instrument_name,quantity,price,currency,figi,effective_at
Global-Strategies-SHK,Glencore_LondonStockEx_GLEN,905141,2.762,GBP,BBG001MM1KV4,08/11/2019
Global-Strategies-SHK,Kingfisher_LondonStockEx_KGF,1362038,2.276,GBP,BBG000BKH1W6,08/11/2019
Global-Strategies-SHK,UKGiltTreasury_2.0_2025,405589,106.637,GBP,BBG0088JSC32,08/11/2019
Global-Strategies-SHK,UKGiltTreasury_3.5_2045,266169,134.433,GBP,BBG006N6HZM7,08/11/2019
Global-Strategies-SHK,UKGiltTreasury_3.75_2021,661713,108.126,GBP,BBG001KKJLR4,08/11/2019
Global-Strategies-SHK,UKGiltTreasury_4.5_2034,77481,140.572,GBP,BBG0000D14P3,08/11/2019
Global-Strategies-SHK,USTreasury_2.00_2021,1440244,97.9,USD,BBG00FN3B5K8,08/11/2019
Global-Strategies-SHK,BurfordCapital_LondonStockEx_BUR,853486,14.06,GBP,BBG000PN88Q7,08/11/2019
Global-Strategies-SHK,EKFDiagnostics_LondonStockEx_EKF,925925,0.27,GBP,BBG000BVNBN3,08/11/2019
Global-Strategies-SHK,JustEat_LondonStockEx_JE,4860907,5.464,GBP,BBG0065YWM39,08/11/2019
Global-Strategies-SHK,MicroFocus_LondonStockEx_MCRO,687994,14.535,GBP,BBG000G4KKD2,08/11/2019
Global-Strategies-SHK,RELXGroup_LondonStockEx_REL,494343,15.98,GBP,BBG000D03XD4,08/11/2019
Global-Strategies-SHK,Sage_LondonStockEx_SGE,2599653,5.77,GBP,BBG000BN0PP3,08/11/2019
Global-Strategies-SHK,WPP_LondonStockEx_WPP,2956000,8.71,GBP,BBG000BF6B57,08/11/2019
Global-Strategies-SHK,USTreasury_6.875_2025,534049,124.52,USD,BBG000DQQNJ8,08/11/2019
